pair_name,pair_tags,win_rate,games
Amumu Ornn,TankTank,0.5,22.0
Amumu Pantheon,FighterTank,0.4782608695652174,23.0
Amumu Poppy,TankTank,0.45454545454545453,11.0
Amumu Pyke,SupportTank,0.21739130434782608,23.0
Amumu Qiyana,AssassinTank,0.3333333333333333,15.0
Amumu Quinn,MarksmanTank,0.5714285714285714,7.0
Amumu Rakan,SupportTank,0.5384615384615384,13.0
Amumu Rammus,TankTank,0.0,5.0
Amumu Rek'Sai,FighterTank,0.0,2.0
Amumu Renekton,FighterTank,0.4,25.0
Amumu Rengar,AssassinTank,0.3333333333333333,6.0
Amumu Riven,FighterTank,0.25,4.0
Amumu Rumble,FighterTank,0.4375,16.0
Amumu Senna,MarksmanTank,0.5121951219512195,41.0
Amumu Sett,FighterTank,0.4,20.0
Amumu Shaco,AssassinTank,0.14285714285714285,7.0
Amumu Shen,TankTank,0.5,12.0
Amumu Shyvana,FighterTank,0.0,1.0
Amumu Sona,SupportTank,0.0,1.0
Amumu Swain,MageTank,0.2857142857142857,7.0
Amumu Sylas,MageTank,0.3870967741935484,31.0
Amumu Syndra,MageTank,0.625,8.0
Amumu Tahm Kench,SupportTank,0.5,10.0
Amumu Taliyah,MageTank,0.8333333333333334,6.0
Amumu Talon,AssassinTank,0.375,8.0
Amumu Taric,SupportTank,0.5454545454545454,11.0
Amumu Thresh,SupportTank,0.46808510638297873,47.0
Amumu Trundle,FighterTank,0.0,2.0
Amumu Udyr,FighterTank,0.0,1.0
Amumu Varus,MarksmanTank,0.6666666666666666,18.0
Amumu Vayne,MarksmanTank,0.3076923076923077,13.0
Amumu Veigar,MageTank,0.75,4.0
Amumu Vel'Koz,MageTank,0.25,4.0
Amumu Viktor,MageTank,0.5,4.0
Amumu Volibear,FighterTank,0.4,5.0
Amumu Wukong,FighterTank,0.2,5.0
Amumu Xayah,MarksmanTank,0.625,16.0
Amumu Xerath,MageTank,0.25,4.0
Amumu Yasuo,FighterTank,0.6470588235294118,17.0
Amumu Yorick,FighterTank,1.0,1.0
Amumu Yuumi,SupportTank,0.3076923076923077,26.0
Amumu Zac,TankTank,0.0,1.0
Amumu Zed,AssassinTank,0.4666666666666667,15.0
Amumu Ziggs,MageTank,0.5,4.0
